,0
2359,-30
2360,-33
2361,-31
2362,-29
2363,-31
2364,-33
2365,-31
2366,-27
2367,-27
2368,-32
2369,-31
2370,-31
2371,-31
2372,-29
2373,-28
2374,-31
2375,-34
2376,-30
2377,-28
2378,-28
2379,-28
2380,-29
2381,-31
2382,-35
2383,-31
2384,-35
2385,-34
2386,-27
2387,-29
2388,-35
2389,-33
2390,-35
2391,-30
2392,-33
2393,-27
2394,-36
2395,-33
2396,-29
2397,-32
2398,-33
2399,-29
2400,-29
2401,-29
2402,-35
2403,-31
2404,-27
2405,-30
2406,-31
2407,-31
2408,-29
2409,-33
2410,-27
2411,-28
2412,-32
2413,-29
2414,-27
2415,-35
2416,-29
2417,-31
2418,-29
2419,-34
2420,-29
2421,-29
2422,-27
2423,-29
2424,-30
2425,-31
2426,-29
2427,-41
2428,-33
2429,-30
2430,-31
2431,-27
2432,-29
2433,-28
2434,-32
2435,-27
2436,-29
2437,-32
2438,-29
2439,-33
2440,-28
2441,-27
2442,-29
2443,-29
2444,-31
2445,-30
2446,-33
2447,-28
2448,-27
2449,-29
2450,-29
2451,-29
2452,-30
2453,-28
2454,-29
2455,-33
2456,-33
2457,-28
2458,-29
2459,-31
2460,-32
2461,-28
2462,-34
2463,-33
2464,-32
2465,-35
2466,-31
2467,-29
2468,-29
2469,-28
2470,-27
2471,-31
2472,-28
2473,-29
2474,-35
2475,-31
2476,-27
2477,-33
2478,-31
2479,-29
2480,-30
2481,-32
2482,-27
2483,-32
2484,-28
2485,-29
2486,-27
2487,-29
2488,-30
2489,-31
2490,-28
2491,-39
2492,-34
2493,-30
2494,-31
2495,-30
2496,-30
