"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
-9.8,-14.7,-11.4
-5.5,-18.0,-10.8
-5.8,-14.6,-9.2
-10.8,-15.3,-13.3
-13.6,-17.7,-8.2
-10.4,-19.4,-11.7
-12.4,-16.4,-9.3
-8.6,-14.9,-9.5
-7.1,-20.6,-16.1
-8.2,-17.4,-0.3
-11.3,-19.3,-10.5
-9.3,-19.8,-9.8
-11.7,-17.7,-4.9
-2.1,-26.4,-9.6
-7.6,-23.6,-7.8
-3.9,-20.3,-8.0
-5.8,-18.9,-14.1
-5.2,-15.8,-10.6
-8.0,-23.0,-11.6
-12.2,-16.3,-8.1
-5.3,-11.1,-9.0
-11.3,-19.3,-9.6
-15.9,-20.8,-11.1
-5.9,-13.9,-13.3
-13.5,-16.5,-11.2
-9.9,-25.8,-7.8
-12.5,-16.3,-24.3
-8.9,-22.7,-8.6
-9.5,-21.8,-8.4
-8.5,-16.4,-10.1
-3.6,-18.9,-8.4
-9.3,-22.0,-5.2
-8.8,-21.0,-9.5
-1.8,-26.9,-9.5
-13.8,-37.9,-5.0
-6.3,-23.3,-11.2
-14.2,-10.9,-11.2
-4.5,-14.5,-13.5
-8.0,-17.2,-13.1
-8.7,-26.4,-7.6
-9.6,-15.3,-10.3
-7.9,-14.2,-9.0
-6.0,-16.1,-10.8
-8.9,-19.7,-10.5
-11.1,-8.2,-11.4
-5.5,-19.6,-5.8
-5.9,-21.7,-10.3
-14.1,-33.6,-8.9
-18.4,-27.7,-11.9
-8.0,-25.4,-10.6
-7.6,-22.5,-9.9
-7.5,-19.8,-6.1
-8.7,-18.7,-7.6
-3.6,-25.8,-10.3
-8.7,-17.9,-14.0
-6.0,-24.6,-11.7
-8.3,-16.8,-6.9
-8.2,-18.9,-5.8
-9.0,-17.0,-12.6
-7.3,-16.6,-13.0
-10.3,-12.2,-9.3
-6.1,-12.6,-6.0
-4.1,-13.2,-11.3
-5.6,-21.0,-6.7
-12.1,-12.6,-7.2
-5.9,-11.3,-9.7
-8.6,-22.4,-9.8
-8.1,-18.9,-10.6
-11.2,-19.8,-6.3
-6.9,-11.7,-10.4
-13.6,-21.2,-5.8
-8.9,-10.7,-4.9
-7.9,-13.1,-11.4
-10.5,-19.1,-7.4
-8.5,-22.0,-13.6
-8.2,-22.3,-7.7
-2.4,-20.5,-11.1
-13.7,-12.0,-11.2
-8.4,-22.0,-7.0
-9.0,-15.1,-8.7
-9.4,-15.7,-17.5
-8.2,-10.9,-7.1
-7.3,-31.7,-14.7
-16.0,-20.0,-6.9
-10.6,-14.8,-19.3
-10.2,-20.0,-2.8
-6.4,-25.3,-10.2
-5.9,-13.6,-6.4
-8.5,-18.3,-10.0
-11.7,-18.7,-5.0
-9.6,-18.2,-8.5
-9.2,-24.2,-11.1
-11.1,-17.9,-3.3
-6.9,-18.7,-11.9
-12.8,-14.6,-9.3
-2.4,-19.3,-7.4
-8.3,-15.1,-5.0
-7.6,-17.0,-6.8
-4.3,-14.8,-8.0
-16.2,-22.5,-9.0
-7.8,-23.5,-7.1
-11.9,-14.0,-15.6
-11.3,-11.7,-9.7
-5.1,-16.7,-9.5
-9.0,-18.2,-7.7
-5.5,-15.6,-2.0
-9.9,-24.3,-5.1
-5.6,-16.6,-16.9
-4.7,-12.6,-8.5
-12.3,-16.2,-14.8
-4.6,-19.3,-8.9
-6.0,-11.3,-12.2
-5.4,-16.3,-3.9
-6.7,-18.0,-4.0
-5.2,-27.8,-6.1
-13.7,-14.5,-6.4
-7.2,-10.5,-7.5
-13.6,-18.9,-6.3
-10.9,-12.6,-5.0
-14.8,-25.8,-7.9
-14.4,-28.2,-8.3
-2.5,-19.8,-8.9
-12.6,-11.8,-5.6
-6.3,-19.0,-8.0
-7.7,-16.1,-7.1
-4.3,-20.8,-4.1
-8.4,-16.7,-10.4
-7.6,-11.3,-5.3
-12.4,-16.1,-10.5
-3.9,-10.6,-10.7
-6.3,-15.0,-5.2
-5.5,-18.9,-6.9
-5.2,-23.5,-10.8
-4.2,-11.7,-7.6
-3.0,-15.1,-4.1
-11.9,-13.9,-11.1
-7.7,-16.0,-9.5
-13.2,-18.2,-10.4
-6.5,-21.3,-2.8
-8.3,-19.6,-13.7
-6.5,-14.8,-6.2
-8.7,-15.2,-7.1
-9.1,-15.2,-6.5
-8.2,-13.9,-5.8
-7.6,-18.3,-12.1
-3.2,-17.7,-10.8
-6.6,-20.0,-3.4
-6.4,-15.5,-20.7
-1.3,-11.3,-6.0
-7.5,-21.3,-11.3
-3.7,-13.0,-8.7
-8.9,-15.9,-6.6
-10.0,-10.6,-4.7
-3.4,-12.6,-8.5
-13.6,-32.4,-9.9
-2.8,-19.0,-7.2
-7.9,-22.2,-15.5
-5.7,-18.4,-6.4
-6.9,-22.6,-9.3
-6.6,-21.0,-6.9
-7.6,-14.9,-25.8
-3.5,-16.1,-2.5
-5.9,-15.5,-4.0
-8.5,-13.7,-8.3
-7.1,-12.7,-4.8
-5.8,-22.4,-6.5
-4.9,-15.3,-7.4
1.2,-19.2,-10.4
-7.8,-13.7,-11.8
-7.0,-13.7,-10.7
-10.1,-10.3,-4.1
-5.8,-12.9,-10.4
-6.6,-14.9,-9.2
-3.7,-12.7,-6.4
-2.1,-17.9,-1.5
-5.3,-20.0,-8.8
-11.8,-12.3,-8.8
-7.0,-27.5,-6.8
-8.2,-15.4,-7.7
-3.3,-15.0,-7.6
-8.8,-17.1,-9.5
-6.5,-16.2,-6.5
-10.7,-13.6,-4.6
-8.1,-15.6,-8.8
-4.3,-13.7,-7.1
-7.9,-28.3,-8.8
