greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
3.7,-0.7,3.6,-0.5
4.6,0.2,5.0,-1.2
5.2,-1.1,-0.7,-0.8
-5.8,-2.4,4.7,-1.1
5.5,-1.5,5.4,-0.9
4.4,-0.6,5.5,-0.7
5.7,0.3,5.3,-1.3
5.1,-0.6,4.2,-1.8
5.0,0.5,4.7,-1.3
6.3,-7.1,5.0,-4.7
4.5,-8.4,4.3,1.0
5.2,0.6,5.7,-1.6
4.9,1.0,5.4,-0.2
5.1,-9.8,5.2,0.5
4.4,1.2,5.8,-1.2
4.2,0.0,5.6,-5.5
4.2,1.5,5.4,-1.1
3.2,2.4,4.5,-1.0
4.2,-1.6,5.1,-0.8
4.6,1.3,4.9,-2.3
5.4,-20.8,4.5,-11.6
4.8,-0.2,6.4,-0.7
5.2,-1.8,5.3,-1.7
3.8,-9.8,4.9,-5.9
4.6,-2.1,5.1,-1.5
3.9,-0.7,5.1,-0.5
4.3,-1.5,4.5,-1.4
5.8,0.4,5.0,0.6
3.6,0.4,6.2,-2.6
5.1,-1.9,4.9,-13.2
4.2,0.0,4.9,-6.0
5.4,1.7,3.7,-1.3
4.9,-0.9,6.1,-1.8
4.4,-3.1,5.2,-11.9
5.8,0.8,3.4,-1.5
5.0,-0.2,4.7,-1.9
4.3,-9.2,5.1,-2.1
4.9,-1.1,4.8,-4.2
4.4,-6.8,3.8,-1.8
4.3,0.6,4.7,-3.3
5.7,1.1,4.5,-12.0
4.2,1.2,3.9,-3.5
4.6,-8.8,6.0,0.1
5.0,-0.5,4.6,-2.8
6.0,1.3,5.8,-8.6
4.1,1.5,4.9,1.7
5.7,2.5,5.1,-1.9
5.7,1.7,4.9,-3.7
-0.7,2.6,5.2,-3.0
4.3,-0.6,5.1,-0.6
5.1,0.6,5.9,-0.8
-5.8,-11.5,5.0,-3.9
-7.7,-4.3,5.0,-0.8
-6.0,-0.1,3.3,-1.3
4.6,-1.5,4.7,-2.1
4.9,-2.5,5.7,-2.1
4.5,-1.3,4.8,-2.1
5.1,1.7,4.9,-5.5
4.8,0.3,4.3,-2.1
4.2,-2.2,4.2,-5.8
5.1,-1.6,4.9,-1.8
4.9,0.2,4.7,-2.5
5.5,1.1,4.8,-0.9
3.6,-9.5,4.9,-2.4
4.9,-3.8,5.2,-2.9
5.3,1.5,1.0,-5.0
4.6,-0.8,4.2,-0.6
4.9,-0.3,4.5,-0.9
4.8,0.0,5.1,-2.1
-5.2,-11.0,3.8,-0.2
-5.6,-3.2,4.8,-1.8
4.8,-0.4,3.1,0.4
