,0
2230,-28
2231,-31
2232,-29
2233,-29
2234,-30
2235,-29
2236,-33
2237,-31
2238,-27
2239,-35
2240,-27
2241,-31
2242,-27
2243,-31
2244,-32
2245,-29
2246,-32
2247,-36
2248,-33
2249,-28
2250,-30
2251,-31
2252,-31
2253,-30
2254,-27
2255,-31
2256,-32
2257,-29
2258,-29
2259,-31
2260,-31
2261,-28
2262,-29
2263,-34
2264,-28
2265,-36
2266,-37
2267,-30
2268,-34
2269,-30
2270,-31
2271,-29
2272,-30
2273,-31
2274,-103
2275,-33
2276,-29
2277,-30
2278,-39
2279,-29
2280,-31
2281,-29
2282,-29
2283,-27
2284,-29
2285,-28
2286,-29
2287,-32
2288,-33
2289,-28
2290,-31
2291,-31
2292,-32
2293,-30
2294,-31
2295,-31
2296,-28
2297,-32
2298,-29
2299,-30
2300,-33
2301,-32
2302,-31
2303,-29
2304,-27
2305,-34
2306,-27
2307,-29
2308,-33
2309,-28
2310,-28
2311,-32
2312,-29
2313,-31
2314,-34
2315,-30
2316,-32
2317,-29
2318,-28
2319,-27
2320,-31
2321,-31
2322,-28
2323,-30
2324,-35
2325,-30
2326,-29
2327,-36
2328,-33
2329,-31
2330,-30
2331,-37
2332,-33
2333,-29
2334,-27
2335,-32
2336,-31
2337,-32
2338,-31
2339,-27
2340,-37
2341,-30
2342,-27
2343,-27
2344,-28
2345,-27
2346,-32
2347,-33
2348,-33
2349,-29
2350,-31
2351,-31
2352,-31
2353,-30
2354,-35
2355,-36
2356,-29
2357,-27
2358,-27
2359,-32
2360,-31
2361,-33
2362,-28
2363,-27
2364,-27
2365,-31
2366,-35
2367,-29
2368,-34
2369,-29
2370,-27
2371,-33
2372,-34
2373,-29
2374,-36
2375,-32
2376,-33
2377,-29
2378,-27
2379,-27
2380,-30
2381,-28
2382,-28
2383,-31
2384,-29
2385,-29
2386,-29
2387,-32
2388,-28
2389,-34
2390,-29
2391,-29
2392,-35
2393,-27
2394,-31
2395,-32
2396,-31
2397,-27
2398,-30
2399,-27
2400,-30
2401,-29
2402,-27
2403,-31
2404,-35
2405,-27
2406,-32
2407,-29
2408,-28
2409,-33
2410,-29
2411,-28
2412,-27
2413,-34
2414,-34
2415,-30
2416,-34
2417,-27
2418,-30
2419,-29
2420,-30
2421,-29
2422,-29
2423,-28
2424,-30
2425,-32
2426,-30
2427,-34
2428,-33
2429,-27
2430,-27
2431,-29
2432,-29
2433,-116
2434,-30
2435,-31
2436,-38
2437,-29
2438,-27
2439,-31
2440,-32
2441,-34
2442,-38
2443,-29
2444,-27
2445,-38
2446,-31
2447,-31
2448,-30
2449,-31
2450,-29
2451,-27
2452,-28
2453,-29
2454,-27
2455,-29
2456,-30
2457,-31
2458,-28
2459,-29
2460,-30
2461,-31
2462,-27
2463,-31
2464,-29
2465,-27
2466,-33
2467,-28
2468,-27
2469,-30
2470,-31
2471,-31
2472,-30
2473,-30
2474,-30
2475,-29
2476,-27
2477,-27
2478,-27
2479,-32
2480,-29
2481,-28
2482,-29
2483,-35
2484,-31
2485,-39
2486,-27
2487,-27
2488,-29
2489,-27
2490,-29
2491,-30
2492,-29
2493,-28
2494,-29
2495,-28
2496,-28
