"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
30.32,61.84,36.28
29.12,62.24,35.88
29.68,52.56,35.52
32.76,64.0,35.4
30.96,59.8,36.64
34.2,64.6,37.2
29.8,60.72,37.16
28.84,61.16,33.56
29.68,66.84,39.96
30.92,63.72,33.8
30.44,68.32,38.16
28.68,59.8,42.2
29.68,53.44,30.88
30.6,56.84,42.04
34.4,63.24,37.8
26.88,58.84,35.0
32.88,62.0,34.4
29.88,65.8,34.4
33.32,60.88,37.52
30.76,64.76,36.92
30.68,67.64,35.52
31.72,65.0,38.36
34.64,71.52,36.68
30.76,57.2,36.76
32.64,60.16,33.88
29.6,60.96,32.76
31.32,58.88,37.36
27.24,55.28,32.12
35.72,59.76,32.76
32.36,68.96,35.8
30.12,58.32,36.0
27.2,61.8,33.92
30.44,60.08,37.32
29.48,63.2,36.48
29.12,66.04,33.12
29.84,64.28,33.08
29.68,54.24,38.16
29.96,60.24,42.32
30.52,63.44,33.36
29.52,65.72,37.84
34.76,70.52,35.64
29.08,63.28,36.8
30.28,64.68,38.16
30.48,59.36,38.28
30.84,68.8,38.72
27.24,55.56,34.28
32.88,52.72,34.92
32.12,60.36,37.68
25.72,58.68,35.6
31.84,63.92,37.28
35.72,57.96,40.92
28.96,63.6,38.0
28.6,56.04,38.48
34.36,53.8,37.76
31.24,56.72,37.28
30.08,66.0,36.16
31.0,61.12,37.0
29.44,65.28,36.6
34.4,66.12,37.48
33.68,69.52,32.36
30.92,59.76,36.52
31.96,62.12,37.88
31.96,56.52,38.68
31.24,52.48,40.0
30.96,59.64,36.36
31.2,63.08,36.68
27.88,55.8,35.44
31.8,59.52,34.48
30.32,65.68,37.8
29.68,66.04,36.28
30.16,55.96,39.52
29.96,50.6,34.64
34.4,59.4,35.6
27.36,58.72,39.76
30.16,64.04,34.52
29.68,60.88,40.88
32.4,62.88,28.64
28.92,60.12,31.8
34.24,61.68,40.76
29.4,55.68,35.56
30.24,62.36,36.0
26.8,65.96,37.36
27.96,66.12,35.48
34.68,54.24,42.48
28.4,60.28,39.36
29.08,64.8,35.52
30.08,56.24,39.28
31.72,72.84,36.36
27.48,62.24,36.24
27.72,65.0,35.44
30.12,56.92,37.52
25.92,64.28,34.88
31.04,59.28,35.56
33.12,61.96,34.36
32.72,61.76,36.08
29.52,62.24,38.6
28.88,59.84,38.04
33.16,70.36,35.08
31.92,64.84,34.48
30.44,60.08,36.2
32.32,56.84,33.96
28.48,71.56,37.64
30.88,62.32,36.08
30.64,66.36,35.8
29.48,55.64,38.36
31.32,57.76,39.08
30.48,58.72,44.88
30.04,62.56,35.8
30.04,59.16,33.88
29.2,57.04,37.4
27.6,58.52,36.92
31.08,61.88,38.4
26.32,57.44,36.84
32.12,67.72,36.76
31.44,61.76,36.52
31.48,53.72,34.84
36.48,66.84,34.16
29.88,62.92,37.32
33.8,66.32,37.28
31.08,64.12,38.2
29.04,64.72,32.6
35.04,60.36,40.04
30.96,59.28,34.32
38.08,69.44,36.64
28.64,62.56,36.2
27.88,53.52,37.04
29.64,66.64,35.68
30.88,55.72,34.28
33.6,63.72,35.72
25.68,64.8,34.48
31.48,55.76,33.0
30.24,71.64,34.76
27.16,57.12,41.48
34.64,66.8,35.16
31.0,60.12,37.68
34.76,65.12,35.68
27.44,69.48,39.84
32.92,66.36,38.64
31.32,54.12,40.16
29.96,67.28,37.84
33.44,66.2,39.12
29.84,65.0,36.76
29.96,60.44,35.8
28.04,55.32,35.96
30.96,58.64,38.96
29.16,60.08,36.0
30.16,61.4,35.0
30.96,64.08,35.44
34.28,70.32,41.0
31.6,64.4,36.24
27.16,57.16,31.92
29.44,64.12,32.92
30.08,67.28,36.92
31.76,60.76,32.52
34.24,68.0,36.0
28.72,76.6,42.08
30.16,68.76,38.2
29.04,67.32,39.8
31.16,61.6,38.92
30.96,57.76,33.88
27.36,65.2,34.12
30.72,66.44,36.24
31.4,57.84,35.0
32.4,56.52,37.08
32.12,58.28,34.4
26.68,64.32,37.32
30.8,60.8,33.44
28.2,61.16,35.32
28.72,59.68,35.8
28.64,61.88,36.76
31.2,67.76,34.36
30.0,58.48,35.28
29.48,63.16,36.68
32.68,63.48,36.08
30.28,54.08,41.52
26.52,57.96,34.64
28.72,58.24,40.04
32.16,64.56,38.52
27.44,62.2,40.64
27.36,61.24,39.08
28.32,70.04,39.04
33.08,58.8,39.84
31.44,60.32,34.28
32.04,60.6,30.88
28.08,60.52,35.16
31.52,60.56,37.2
32.4,74.56,34.96
30.28,66.04,41.68
33.84,62.08,41.28
27.6,59.68,37.04
29.68,63.48,36.32
36.16,64.72,38.96
28.04,69.88,37.8
33.24,62.84,34.0
28.24,58.76,39.04
30.64,60.8,39.72
31.36,59.04,35.04
30.84,62.28,35.56
31.92,67.52,36.32
29.56,55.44,34.56
30.28,64.4,38.08
28.68,60.36,35.4
28.52,62.24,35.8
28.44,64.6,37.12
29.12,61.08,36.12
35.16,62.48,35.04
33.28,56.8,38.88
31.8,60.52,35.76
31.16,68.28,34.4
29.2,71.76,38.68
31.16,61.16,35.32
30.16,61.4,34.24
32.68,56.24,38.44
30.16,64.6,35.72
28.4,66.48,34.72
29.0,63.88,41.6
30.72,67.68,36.76
31.44,57.24,32.68
28.36,65.84,34.64
28.44,60.92,37.04
29.12,60.92,36.36
33.56,59.72,33.96
26.72,66.04,40.84
29.12,66.76,33.04
28.68,52.64,37.24
28.08,64.2,37.76
27.64,59.36,33.32
30.4,68.4,36.4
31.32,62.92,35.8
28.56,60.8,39.64
30.0,73.28,36.32
30.16,68.84,39.52
31.04,55.16,36.64
29.68,59.88,35.68
28.28,59.2,42.24
31.12,61.52,39.28
31.4,54.68,39.6
33.08,69.88,39.96
30.8,58.52,36.36
31.68,65.56,34.4
31.4,61.64,42.6
25.24,55.92,33.96
30.4,72.4,35.72
27.56,56.92,36.56
32.0,64.52,39.36
32.6,59.44,43.84
32.12,66.72,33.96
28.88,61.88,38.96
30.92,52.88,36.28
32.36,59.28,39.36
33.32,56.96,34.44
33.44,65.48,34.28
33.12,59.28,34.16
32.8,64.08,35.52
32.76,57.44,36.4
31.12,57.68,41.6
30.96,57.2,38.0
28.52,57.12,34.04
30.48,65.0,36.56
29.2,60.2,42.44
30.0,60.16,38.68
29.36,60.12,33.32
27.24,62.8,34.76
29.28,61.76,33.24
31.36,61.68,40.84
31.52,60.8,33.28
27.96,60.12,35.96
27.52,68.2,39.52
28.8,67.04,39.48
30.12,70.68,36.56
33.2,63.72,37.92
29.44,63.48,36.16
25.72,61.36,35.12
30.52,64.6,35.76
30.0,70.68,37.52
33.44,65.84,32.32
30.68,63.12,35.8
27.2,69.2,38.96
33.0,57.0,34.12
34.24,67.68,36.6
32.32,72.32,42.84
26.96,66.2,37.12
32.04,57.48,38.8
30.08,65.56,35.48
27.68,65.96,37.72
30.72,60.36,35.4
28.92,64.16,35.28
30.12,60.12,33.16
28.84,63.16,34.08
30.12,58.6,37.6
32.72,63.08,37.6
29.2,60.04,41.56
29.56,55.48,36.24
32.76,61.04,37.04
28.32,52.52,32.56
26.56,65.68,37.4
27.44,63.92,40.52
29.52,61.36,34.48
33.6,59.12,36.28
33.76,63.04,39.16
32.72,62.36,36.24
30.16,63.04,36.32
29.44,72.28,38.0
26.92,61.4,41.64
31.96,63.0,34.88
33.88,57.0,31.76
31.12,58.96,36.12
30.64,63.64,35.68
35.08,60.48,39.56
30.76,60.72,33.84
26.96,65.64,34.84
34.56,62.84,36.16
30.12,54.08,38.08
34.76,58.8,31.48
26.52,62.28,39.0
33.64,65.4,35.88
26.84,60.0,36.6
30.04,67.36,37.32
29.52,61.96,41.08
31.76,72.28,34.76
30.16,70.72,36.52
30.52,63.8,38.68
31.28,62.52,34.84
32.16,60.2,36.0
28.48,66.36,35.44
29.32,61.2,35.96
26.36,63.0,34.32
32.52,52.4,39.0
31.04,60.88,37.6
31.6,63.92,33.44
29.04,72.92,43.6
30.28,59.08,34.52
29.24,69.16,35.44
32.04,60.12,36.8
31.04,61.76,39.24
28.64,60.64,40.32
32.64,59.68,38.48
29.76,57.08,32.68
30.96,57.32,36.64
34.92,64.44,39.96
29.56,60.16,32.68
26.44,62.72,38.92
34.44,71.4,35.72
30.24,75.32,37.6
28.72,75.12,33.96
33.8,70.56,41.48
31.72,66.0,37.56
