"(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'greedy', 0, 20)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
48.96,71.68,48.2,56.4,64.2
37.12,59.8,44.92,40.48,58.48
40.52,60.56,48.48,48.28,51.12
38.28,62.24,44.04,42.36,57.16
40.28,63.84,50.68,49.56,51.28
41.12,60.44,45.52,44.52,56.64
40.44,70.32,45.12,49.12,60.0
41.0,60.28,49.44,46.44,55.16
35.68,66.92,44.04,51.04,59.68
46.0,72.8,45.76,48.16,68.96
36.64,62.92,43.64,48.4,58.36
37.04,54.0,39.44,42.64,48.0
39.44,73.8,56.44,57.68,64.28
40.24,69.96,52.52,54.48,64.36
40.4,70.76,49.52,45.92,63.44
36.48,66.76,43.12,45.8,60.96
38.44,63.4,47.0,50.72,58.0
38.68,54.24,38.8,42.28,49.36
39.52,64.0,47.12,44.84,54.8
42.8,77.0,54.76,61.68,69.88
40.56,62.8,48.24,48.6,56.4
46.16,75.08,55.52,49.84,65.32
42.52,57.0,44.88,44.4,53.4
34.96,59.92,44.6,46.92,56.16
34.2,63.0,40.8,46.84,57.48
42.64,61.6,43.36,48.48,60.52
40.24,66.32,44.88,50.32,60.16
39.28,58.04,41.72,45.4,51.44
37.76,60.68,45.96,44.12,58.44
36.2,53.28,35.04,42.72,44.64
45.2,65.76,48.36,58.12,59.56
42.04,64.24,44.24,44.44,59.36
40.8,63.2,47.28,48.44,55.12
29.8,60.88,45.52,47.88,58.32
39.48,63.2,48.8,51.36,57.96
39.44,66.92,40.4,42.08,59.48
39.28,65.04,48.56,48.32,58.88
39.04,57.8,43.84,43.48,51.88
34.2,57.36,39.88,38.48,48.92
35.68,67.84,45.64,45.84,61.72
41.08,66.88,48.36,45.72,58.56
38.76,62.16,42.56,44.56,56.16
40.04,60.72,49.08,45.44,56.8
37.88,63.96,45.0,48.92,54.4
43.72,70.24,54.28,54.16,63.48
39.64,69.32,46.52,48.92,64.52
44.32,68.68,48.48,48.52,64.52
39.76,64.88,47.0,49.96,56.2
40.84,62.52,43.44,45.12,63.4
42.68,60.8,42.56,48.2,54.08
41.2,69.0,44.32,51.68,63.16
40.84,65.52,45.08,48.44,61.36
41.96,71.12,46.32,46.72,61.8
42.48,64.04,51.52,48.76,58.0
43.16,64.04,46.32,47.44,57.44
