"(0, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
43.2,49.2,49.2,32.8,34.0
39.2,67.6,67.6,39.2,47.2
26.0,50.4,50.4,29.2,41.6
30.0,76.4,76.4,45.2,58.4
46.4,66.4,66.4,43.6,58.0
52.0,48.4,48.4,60.8,37.6
36.4,60.0,60.0,45.2,43.2
28.8,56.0,56.0,25.6,34.8
31.2,40.8,40.8,22.4,34.4
46.0,79.2,79.2,44.0,54.4
28.0,68.4,68.4,28.4,62.0
38.8,61.2,61.2,26.4,55.6
34.0,59.2,59.2,38.8,41.2
32.8,43.6,43.6,30.0,45.6
33.2,64.0,64.0,31.6,52.0
30.0,83.2,83.2,25.2,51.6
29.2,112.0,112.0,24.8,60.4
31.6,56.0,56.0,27.2,34.8
30.0,51.2,51.2,26.8,31.6
33.6,71.2,71.2,30.4,43.6
23.6,86.8,86.8,56.0,33.6
27.6,83.2,83.2,34.4,44.4
20.4,53.2,53.2,23.2,27.6
45.6,56.4,56.4,33.6,32.4
34.8,57.2,57.2,41.6,44.8
20.4,66.0,66.0,21.2,51.6
33.2,55.2,55.2,29.2,24.8
30.8,38.8,38.8,42.4,29.6
22.0,53.6,53.6,25.2,45.2
27.2,60.0,60.0,32.4,57.2
26.8,87.6,87.6,20.0,46.8
31.2,70.4,70.4,29.6,40.0
35.6,47.6,47.6,29.6,43.6
36.0,86.4,86.4,23.6,36.4
25.2,67.6,67.6,32.8,50.0
58.8,64.0,64.0,33.6,38.8
27.2,69.2,69.2,39.6,66.8
27.6,72.4,72.4,38.0,59.2
27.2,42.0,42.0,27.6,33.6
33.6,50.4,50.4,16.0,38.0
27.6,39.2,39.2,51.6,23.6
50.4,44.8,44.8,23.6,42.0
44.8,80.4,80.4,31.2,48.0
34.0,50.8,50.8,34.8,48.0
25.6,68.8,68.8,25.2,62.0
26.0,46.0,46.0,43.2,28.0
45.2,75.2,75.2,41.2,60.4
35.2,90.4,90.4,46.4,42.0
37.2,54.4,54.4,44.0,42.8
39.6,62.4,62.4,53.6,58.4
32.8,69.2,69.2,22.8,49.2
45.6,60.0,60.0,28.8,54.4
27.2,72.8,72.8,31.2,64.4
34.4,77.6,77.6,29.6,66.0
40.0,80.0,80.0,36.0,56.4
31.6,35.6,35.6,30.0,36.0
31.6,52.4,52.4,38.0,27.6
28.4,51.2,51.2,21.2,33.6
32.8,82.8,82.8,31.2,43.6
40.0,71.2,71.2,32.8,44.4
37.6,48.4,48.4,38.0,39.6
49.6,48.0,48.0,36.4,56.0
32.0,64.4,64.4,32.4,38.4
22.0,101.2,101.2,81.2,43.6
28.4,72.8,72.8,38.4,36.0
38.4,70.8,70.8,51.2,43.2
38.8,65.2,65.2,33.2,50.0
20.8,45.2,45.2,26.8,46.0
22.4,56.0,56.0,38.8,28.4
30.4,95.6,95.6,50.0,43.2
36.4,50.8,50.8,31.6,35.2
28.0,64.4,64.4,37.2,36.8
33.2,49.2,49.2,28.4,31.6
33.2,70.8,70.8,38.0,34.0
42.4,65.6,65.6,30.4,40.0
34.0,51.2,51.2,24.4,37.2
38.8,73.6,73.6,29.6,35.6
40.8,56.4,56.4,23.6,26.4
46.8,76.8,76.8,32.4,29.2
26.0,71.6,71.6,28.4,34.8
38.0,44.4,44.4,47.2,38.8
31.2,73.2,73.2,24.4,47.2
20.4,62.0,62.0,25.2,41.2
23.2,83.2,83.2,42.4,27.6
24.4,66.8,66.8,27.6,48.8
28.8,59.6,59.6,26.0,43.2
26.8,30.0,30.0,24.0,15.2
26.4,72.0,72.0,18.8,37.2
26.0,52.8,52.8,21.2,42.8
24.4,41.6,41.6,25.6,33.2
23.2,60.4,60.4,40.0,40.0
40.4,74.8,74.8,34.0,47.2
29.6,40.4,40.4,28.0,44.0
34.4,92.8,92.8,23.2,60.4
25.2,58.8,58.8,32.0,27.2
36.0,76.8,76.8,37.2,57.6
34.0,53.6,53.6,23.2,46.4
42.4,72.8,72.8,25.2,44.0
32.0,63.6,63.6,33.2,49.2
35.6,49.6,49.6,16.0,50.4
32.4,98.8,98.8,26.4,75.2
32.8,69.6,69.6,21.2,54.8
38.8,51.2,51.2,18.0,51.2
33.6,64.8,64.8,18.8,61.2
38.4,79.6,79.6,29.2,75.2
32.0,41.2,41.2,26.0,35.2
29.2,60.8,60.8,25.6,41.2
23.6,71.6,71.6,25.6,45.2
26.8,53.6,53.6,34.0,36.8
40.4,96.0,96.0,23.2,64.4
27.6,62.4,62.4,28.0,52.8
42.0,51.6,51.6,32.4,27.2
81.6,73.2,73.2,54.0,35.6
22.4,88.8,88.8,40.4,51.6
25.2,55.2,55.2,44.0,40.0
30.0,35.6,35.6,28.0,39.6
49.2,69.2,69.2,40.0,44.8
46.0,53.6,53.6,30.8,36.4
32.0,57.6,57.6,37.2,50.8
48.0,64.0,64.0,47.6,45.2
31.6,47.6,47.6,39.6,33.2
25.2,62.8,62.8,26.4,31.6
50.4,58.8,58.8,29.2,38.8
69.6,85.2,85.2,37.6,58.0
34.8,71.6,71.6,37.2,54.4
45.2,67.6,67.6,26.4,70.8
34.8,61.6,61.6,28.8,36.8
57.2,61.2,61.2,39.6,46.8
49.6,78.4,78.4,33.2,26.0
32.4,22.4,22.4,35.6,21.6
54.0,67.6,67.6,36.0,27.2
34.8,40.8,40.8,35.2,32.4
43.2,44.0,44.0,31.2,26.4
33.6,47.2,47.2,34.8,27.6
36.4,39.2,39.2,27.2,45.6
48.4,72.4,72.4,48.4,56.8
22.0,20.4,20.4,24.4,24.8
45.2,53.2,53.2,49.6,52.0
32.0,62.8,62.8,40.4,26.8
60.4,69.6,69.6,43.6,27.2
32.8,43.2,43.2,26.8,30.4
45.6,38.8,38.8,41.2,28.8
40.8,48.8,48.8,44.0,38.4
