greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
27.04,42.04,35.52,39.0
30.52,37.88,36.24,37.4
33.16,31.72,33.48,38.24
27.76,36.64,31.84,39.56
32.4,40.64,31.92,36.92
30.4,41.84,36.28,42.08
28.8,36.4,27.8,40.88
30.12,40.96,32.4,38.6
32.96,38.4,30.96,37.04
28.8,37.56,36.12,34.04
27.68,40.2,30.16,38.24
28.64,39.04,30.48,38.6
31.16,38.36,33.36,39.52
31.36,34.44,32.12,42.08
33.44,39.8,38.72,35.8
28.2,44.28,30.84,35.0
30.12,37.0,32.32,39.48
32.04,39.68,35.28,39.0
31.96,37.36,31.88,36.12
29.92,37.12,31.88,36.76
29.96,43.72,37.36,37.52
32.36,34.24,31.52,37.36
32.84,37.28,34.04,35.8
30.76,39.96,33.12,35.76
30.04,40.6,35.52,34.28
31.24,34.2,29.28,39.8
27.92,41.68,33.48,36.32
25.96,38.28,33.08,37.4
30.56,43.48,29.96,40.08
33.4,34.92,30.56,35.24
32.56,36.2,28.4,35.68
26.32,39.48,32.44,38.96
33.44,35.32,35.12,41.12
34.64,35.44,32.28,38.04
33.2,37.4,33.6,34.72
31.52,39.96,35.6,38.8
34.8,39.84,34.84,35.84
30.52,38.6,36.04,37.32
27.12,43.44,29.2,36.84
34.6,36.28,33.32,42.0
31.6,35.44,31.6,37.16
30.68,37.92,31.04,35.96
31.08,41.16,30.84,36.64
30.04,41.88,33.76,40.96
33.2,38.56,33.56,39.16
30.08,40.0,30.64,35.56
31.12,38.24,32.0,39.28
29.04,32.76,32.0,41.88
28.64,38.64,31.2,38.8
26.48,37.6,33.96,35.08
33.12,39.84,33.6,36.2
26.48,37.0,32.88,38.12
33.48,35.32,31.32,35.08
31.16,38.0,32.4,41.72
32.8,34.64,30.28,39.04
25.88,39.76,29.92,41.0
33.28,39.72,38.72,44.68
28.64,40.2,34.56,35.88
35.12,39.76,32.8,35.76
30.92,34.24,35.0,35.88
34.0,42.0,36.48,37.8
29.08,39.12,33.56,36.04
30.84,35.0,32.0,40.12
32.16,33.8,30.72,37.84
36.32,38.64,31.64,37.76
30.12,47.24,31.56,36.16
26.44,35.2,33.2,36.0
